Title,Description,Link,Date,Location
Karol Szymanowski Quartet,"
Mon May 06 2024 20:15:00 GMT+0200 (Central European Summer Time)
 Dom kulture Nova Gorica Nova Gorica",https://dogodki.kulturnik.si/?where=Dom%20kulture%20Nova%20Gorica-https://dogodki.kulturnik.si/?where=Nova%20Gorica,"ponedeljek, 6. maj 2024",
Dr. Svetlana Slapšak: Onkraj stvarnosti: čudežna bitja,"
Tue May 07 2024 18:00:00 GMT+0200 (Central European Summer Time)
Tue May 07 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 7. maj 2024",
Bienale neodvisnih,"
Wed May 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
Thu Jun 27 2024 23:59:59 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Mala galerija Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Mala%20galerija-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 8. maj 2024",
FKK 5: Za radožive,"
Thu May 09 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 9. maj 2024",
FKK 5: Za radožive,"
Fri May 10 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 10. maj 2024",
Podvodni koncert,"
Sat May 11 2024 15:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 11. maj 2024",
"Prideš, skočiš, padeš!","
Sun May 12 2024 20:00:00 GMT+0200 (Central European Summer Time)
Sun May 12 2024 21:22:22 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Klub CD Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Klub%20CD-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 12. maj 2024",
FKK 6: Za konec sezone,"
Mon May 13 2024 19:30:00 GMT+0200 (Central European Summer Time)
Mon May 13 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 13. maj 2024",
Abonma Liffe po Liffu: Interesno območje (The Zone of Interest),"
Tue May 14 2024 19:30:00 GMT+0200 (Central European Summer Time)
Tue May 14 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 14. maj 2024",
Modri kaftan,"
Wed May 15 2024 10:00:00 GMT+0200 (Central European Summer Time)
Wed May 15 2024 12:04:00 GMT+0200 (Central European Summer Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 15. maj 2024",
