Title,Details,InfoLinks,LinkToPage,Date
Staatstheater Mainz: VEZI DUŠ,"
Sun Jun 09 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/staatstheater-mainz-vezi-dus/vstopnice-1168134.html,"nedelja, 9. junij 2024"
Abonma Liffe po Liffu: Rdeče nebo (Roter Himmel),"
Tue Jun 11 2024 19:30:00 GMT+0200 (Central European Summer Time)
Tue Jun 11 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/film/abonma-liffe-po-liffu-rdece-nebo-roter-himmel,"torek, 11. junij 2024"
Pogovori s skladatelji - Cikel 1808: Godalni kvartet Accademia,"
Wed Jun 12 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Kogojeva dvorana DSS, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=Kogojeva%20dvorana%20DSS%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,,"sreda, 12. junij 2024"
FKK 6: Za konec sezone,"
Thu Jun 13 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/glasba/fkk-6-za-konec-sezone,"četrtek, 13. junij 2024"
Festival idrijske čipke,"
Fri Jun 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jun 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Idrija",https://dogodki.kulturnik.si/?where=Idrija,http://festivalidrijskecipke.si/,"petek, 14. junij 2024"
Trnuljčica DRU,"
Sat Jun 15 2024 18:00:00 GMT+0200 (Central European Summer Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/trnuljcica-dru/vstopnice-1169375.html,"sobota, 15. junij 2024"
Festival narodnozabavne glasbe Vurberk,"
Sun Jun 16 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Jun 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Spodnji Duplek",https://dogodki.kulturnik.si/?where=Spodnji%20Duplek,http://www.vurberk.si/festival.html,"nedelja, 16. junij 2024"
Mednarodni glasbeni festival Arsana,"
Tue Jun 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ptuj",https://dogodki.kulturnik.si/?where=Ptuj,http://festivalarsana.com/,"torek, 18. junij 2024"
Festival Lent,"
Fri Jun 21 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jun 30 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,http://www.festival-lent.si,"petek, 21. junij 2024"
Elvis Homan,"
Fri Jun 28 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Klub Štala, Lokavec Ajdovščina",https://dogodki.kulturnik.si/?where=Klub%20%C5%A0tala%2C%20Lokavec-https://dogodki.kulturnik.si/?where=Ajdov%C5%A1%C4%8Dina,https://www.kudkussa.com/events.html,"petek, 28. junij 2024"
Gibonni,"
Sat Jun 29 2024 21:00:00 GMT+0200 (Central European Summer Time)
 Titov trg Koper Koper",https://dogodki.kulturnik.si/?where=Titov%20trg%20Koper-https://dogodki.kulturnik.si/?where=Koper,https://www.entrio.si/event/gibonni-16153,"sobota, 29. junij 2024"
Festival Bled,"
Mon Jul 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 15 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Lesce",https://dogodki.kulturnik.si/?where=Lesce,http://www.festivalbled.com,"ponedeljek, 1. julij 2024"
Kreativni tabor Sajeta,"
Wed Jul 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Tolmin",https://dogodki.kulturnik.si/?where=Tolmin,http://www.sajeta.org,"sreda, 3. julij 2024"
Festival Butik,"
Wed Jul 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 15 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Tolmin",https://dogodki.kulturnik.si/?where=Tolmin,https://butikfestival.com/,"sreda, 10. julij 2024"
Festival drugačne glasbe Trnje,"
Fri Jul 12 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jul 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Postojna",https://dogodki.kulturnik.si/?where=Postojna,https://www.facebook.com/trnjefest/,"petek, 12. julij 2024"
"Mednarodni folklorni festival, Beltinci","
Thu Jul 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Beltinci",https://dogodki.kulturnik.si/?where=Beltinci,http://www.kud-beltinci.si/folklorni-festival/,"četrtek, 18. julij 2024"
Tolminator,"
Wed Jul 24 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 29 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ig",https://dogodki.kulturnik.si/?where=Ig,https://tolminator.com/,"sreda, 24. julij 2024"
Pomurski Poletni Festival,"
Sat Aug 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Aug 11 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Velika Polana",https://dogodki.kulturnik.si/?where=Velika%20Polana,http://www.strk.si,"sobota, 3. avgust 2024"
Punk Rock Holiday,"
Mon Aug 05 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Aug 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,http://www.punkrockholiday.com/,"ponedeljek, 5. avgust 2024"
"Festivalski predtakt: Adriana Alcaide (ES), Ana Marija Krajnc (SI)","
Fri Aug 09 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje, Glasbena �ola Celje",https://dogodki.kulturnik.si/?where=Celje%2C%20Glasbena%20%EF%BF%BDola%20Celje,http://www.seviqc-brezice.si/festivalski-predtakt.23.html,"petek, 9. avgust 2024"
Festival Radovljica,"
Sat Aug 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
Wed Aug 28 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radovljica",https://dogodki.kulturnik.si/?where=Radovljica,http://www.festival-radovljica.si,"sobota, 10. avgust 2024"
Predstava: OperArija (SI),"
Sun Aug 11 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje, Glasbena �ola Celje",https://dogodki.kulturnik.si/?where=Celje%2C%20Glasbena%20%EF%BF%BDola%20Celje,http://www.seviqc-brezice.si/operarija-si.5.html,"nedelja, 11. avgust 2024"
Festivalski predtakt: Bastion (CH),"
Tue Aug 13 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Stara grofija Celje",https://dogodki.kulturnik.si/?where=Stara%20grofija-https://dogodki.kulturnik.si/?where=Celje,http://www.seviqc-brezice.si/festivalski-predtakt-bastion.html,"torek, 13. avgust 2024"
Festivalski predtakt: Laterna Magica (BE),"
Wed Aug 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Grad Snežnik Stari trg pri Ložu",https://dogodki.kulturnik.si/?where=Grad%20Sne%C5%BEnik-https://dogodki.kulturnik.si/?where=Stari%20trg%20pri%20Lo%C5%BEu,http://www.seviqc-brezice.si/festivalski-predtakt-laterna-magica.html,"sreda, 14. avgust 2024"
Festivalski predtakt: Baroque Arabesque (AT),"
Sat Aug 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Narodni dom Celje Celje",https://dogodki.kulturnik.si/?where=Narodni%20dom%20Celje-https://dogodki.kulturnik.si/?where=Celje,http://www.seviqc-brezice.si/festivalski-predtakt-baroque-arabesque.html,"sobota, 17. avgust 2024"
Koncert: Richard Boothby (GB),"
Mon Aug 19 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Stara grofija Celje",https://dogodki.kulturnik.si/?where=Stara%20grofija-https://dogodki.kulturnik.si/?where=Celje,http://www.seviqc-brezice.si/richard-boothby-gb.3.html,"ponedeljek, 19. avgust 2024"
Festivalski predtakt: Pilar Almal� (ES),"
Tue Aug 20 2024 00:00:00 GMT+0200 (Central European Summer Time)
 KKC Dolenjske Toplice, Dolenjske Toplice Dolenjske Toplice",https://dogodki.kulturnik.si/?where=KKC%20Dolenjske%20Toplice%2C%20Dolenjske%20Toplice-https://dogodki.kulturnik.si/?where=Dolenjske%20Toplice,http://www.seviqc-brezice.si/festivalski-predtakt-pilar-almal.html,"torek, 20. avgust 2024"
